facilityCode,name,legalName,providerType,facilityCategory,levelOfCare,ownership,tier,contractStatus,medicalChainRole,largeInstitutionFlag,servicesOffered,acceptsInsurance,insurersAccepted,insuranceEvidence,sourceClass,sourceNotes,region,district,county,subcounty,address,geoLatitude,geoLongitude,isOpen24Hours,operatingHours,phone,email,contactPerson,paymentTermDays,creditLimitUGX,contractStartDate,contractEndDate,contractNotes,licenceNumber,registrationNumber,facilityLevel,smartProviderId,slade360ProviderId
UG-FAC-00001-MULAGO-NATIONAL-REFERRAL-HOSPITAL,Mulago National Referral Hospital,Mulago National Referral Hospital,HOSPITAL,National Referral Hospital,National Referral,Government,PANEL,ACTIVE,National Referral Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential|Sanlam|UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kampala,Kampala,0.345418,32.571554,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670000000,billing.0001@mulago.national.referral.hospital.test.ug,Provider Relations 0001,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000001,,National Referral,SMART-UG-00001,SLADE-UG-00001
UG-FAC-00002-MULAGO-SPECIALISED-WOMEN-NEONATAL-,Mulago Specialised Women & Neonatal Hospital,Mulago Specialised Women & Neonatal Hospital,HOSPITAL,National Referral Hospital,National Referral,Government,PANEL,ACTIVE,National Referral Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential|Sanlam|UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kampala,Kampala,0.333132,32.579689,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670007919,billing.0002@mulago.specialised.women.neonatal.hospital.test.ug,Provider Relations 0002,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000002,,National Referral,SMART-UG-00002,SLADE-UG-00002
UG-FAC-00003-KAWEMPE-NATIONAL-REFERRAL-HOSPITAL,Kawempe National Referral Hospital,Kawempe National Referral Hospital,HOSPITAL,National Referral Hospital,National Referral,Government,PANEL,ACTIVE,National Referral Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,ICEA|Medical Concierge|AAR,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kampala,Kampala,0.339814,32.595903,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670015838,billing.0003@kawempe.national.referral.hospital.test.ug,Provider Relations 0003,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000003,,National Referral,SMART-UG-00003,SLADE-UG-00003
UG-FAC-00004-KIRUDDU-NATIONAL-REFERRAL-HOSPITAL,Kiruddu National Referral Hospital,Kiruddu National Referral Hospital,HOSPITAL,National Referral Hospital,National Referral,Government,PANEL,ACTIVE,National Referral Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,Sanlam|APA|ICEA,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kampala,Kampala,0.36302,32.598884,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670023757,billing.0004@kiruddu.national.referral.hospital.test.ug,Provider Relations 0004,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000004,,National Referral,SMART-UG-00004,SLADE-UG-00004
UG-FAC-00005-UGANDA-HEART-INSTITUTE,Uganda Heart Institute,Uganda Heart Institute,HOSPITAL,Specialized Tertiary,General Hospital,Government,PANEL,ACTIVE,Specialized Tertiary,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Rehabilitation|Tertiary,true,AAR|Jubilee|Prudential|Sanlam|UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Mulago,"Mulago, Kampala",0.351361,32.585076,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670031676,billing.0005@uganda.heart.institute.test.ug,Provider Relations 0005,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000005,,General Hospital,SMART-UG-00005,SLADE-UG-00005
UG-FAC-00006-UGANDA-CANCER-INSTITUTE,Uganda Cancer Institute,Uganda Cancer Institute,HOSPITAL,Specialized Tertiary,General Hospital,Government,PANEL,ACTIVE,Specialized Tertiary,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Rehabilitation|Tertiary,true,AAR|Jubilee|Prudential|Sanlam|UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Mulago,"Mulago, Kampala",0.349798,32.572501,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670039595,billing.0006@uganda.cancer.institute.test.ug,Provider Relations 0006,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000006,,General Hospital,SMART-UG-00006,SLADE-UG-00006
UG-FAC-00007-YUMBE-REGIONAL-REFERRAL-HOSPITAL,Yumbe Regional Referral Hospital,Yumbe Regional Referral Hospital,HOSPITAL,Regional Referral Hospital,Regional Referral,Government,PANEL,ACTIVE,Regional Referral Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,Jubilee|ICEA|APA,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Northern,Yumbe,Yumbe,Yumbe,Yumbe,3.48472,31.250208,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670047514,billing.0007@yumbe.regional.referral.hospital.test.ug,Provider Relations 0007,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000007,,Regional Referral,SMART-UG-00007,SLADE-UG-00007
UG-FAC-00008-NAKASERO-HOSPITAL,Nakasero Hospital,Nakasero Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential|Sanlam,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kampala,Kampala,0.35214,32.574254,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670055433,billing.0008@nakasero.hospital.test.ug,Provider Relations 0008,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000008,UG-REG-TEST-000008,General Hospital,SMART-UG-00008,SLADE-UG-00008
UG-FAC-00009-INTERNATIONAL-HOSPITAL-KAMPALA-IHK,International Hospital Kampala (IHK),International Hospital Kampala (IHK) Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential|Sanlam|UAP Old Mutual|Liberty,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Namuwongo,"Namuwongo, Kampala",0.342266,32.585108,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670063352,billing.0009@international.hospital.kampala.ihk.test.ug,Provider Relations 0009,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000009,UG-REG-TEST-000009,General Hospital,SMART-UG-00009,SLADE-UG-00009
UG-FAC-00010-MEDIPAL-INTERNATIONAL-HOSPITAL,Medipal International Hospital,Medipal International Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kololo,"Kololo, Kampala",0.34827,32.596947,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670071271,billing.0010@medipal.international.hospital.test.ug,Provider Relations 0010,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000010,UG-REG-TEST-000010,General Hospital,SMART-UG-00010,SLADE-UG-00010
