timestamp,story,step,actor_persona,action,expected,observed,pass_fail,evidence_ref,notes
,10a,draft-shadow-policy,claims@medvex.co.ug,,,,,,
,10a,self-approval-probe,claims@medvex.co.ug,,,,,,
,10a,checker-approve,admin@medvex.co.ug,,,,,,
,10a,emergency-deactivate,admin@medvex.co.ug,,,,,,
,1,admin-claim-submit,claims@medvex.co.ug,,,,,,
,1,automation-panel-shadow-proposal,claims@medvex.co.ug,,,,,,
,2,provider-portal-claim,provider.agakhan.f76@test.local,,,,,,
,3,b2b-story-script,agent,,,,,,
,4,csv-preview,claims@medvex.co.ug,,,,,,
,4,csv-commit,claims@medvex.co.ug,,,,,,
,4,csv-reupload-replay,claims@medvex.co.ug,,,,,,
,6,route-missing-pa,claims@medvex.co.ug,,,,,,
,6,route-unpriced-line,claims@medvex.co.ug,,,,,,
,6,route-fuzzy-duplicate,claims@medvex.co.ug,,,,,,
,7,reimbursement-submit,claims@medvex.co.ug,,,,,,
,8,preauth-create-approve,medical@medvex.co.ug,,,,,,
,8,preauth-convert-doubleclick,claims@medvex.co.ug,,,,,,
,9,case-open-entries,medical@medvex.co.ug,,,,,,
,9,interim-slice,claims@medvex.co.ug,,,,,,
,9,close-and-file,claims@medvex.co.ug,,,,,,
,5,offline-capture-sync,provider.agakhan.f76@test.local,,,,,,
,11,worker-kill-recover,agent,,,,,,
,12,notifications-review,cs@medvex.co.ug,,,,,,
,13,settlement-maker,finance@medvex.co.ug,,,,,,
,13,settlement-checker,finance.checker.f76@test.local,,,,,,
,13,integrity-gate-prod,agent,,,,,,
,14,foreign-scope-probes,provider.ihk.f76@test.local,,,,,,
